pd,factor_delp,factor_A,p_risk,PLoss,lagr,optimal_total_cost,P1,P2,P3,P4,P5,P6
600.0,30.0,30.4,0.033777777777777775,6.73262817167624,9.998795704529327,7196.936949390613,309.11116347555316,50.0,97.62232478742928,50.0,50.0,50.0
600.0,35.0,30.4,0.024816326530612245,6.732645255125193,9.998600041762124,7196.945629231849,309.1191232684487,50.0,97.61438049876563,50.0,50.0,50.0
600.0,40.0,30.4,0.019,6.714509978792804,10.233093769649736,7188.572779721232,300.31610637263736,50.0,106.39933259860715,50.0,50.0,50.0
600.0,45.0,30.4,0.015012345679012344,6.732663847045977,9.998387150050423,7196.955077081333,309.12778521424985,50.0,97.60573542871612,50.0,50.0,50.0
605.0,30.0,30.4,0.033777777777777775,6.787643043577229,10.511045098711534,7238.622411121311,295.4462166524687,50.0,116.3423282316457,50.0,50.0,50.0
605.0,35.0,30.4,0.024816326530612245,8.191887028602654,10.645341296919662,7270.426402671089,249.97810363336475,124.07083197914184,89.14264022145194,50.0,50.0,50.0
605.0,40.0,30.4,0.019,6.801821443695896,10.274811330946564,7243.717916884569,302.9213916313212,50.0,108.88142442829574,50.0,50.0,50.0
605.0,45.0,30.4,0.015012345679012344,6.8188114156719895,10.050291176544704,7251.437097371385,311.1908635082033,50.0,100.62808036239015,50.0,50.0,50.0
610.0,30.0,30.4,0.033777777777777775,8.375011300001393,10.510851554596291,7328.463880557303,250.75887352240395,128.68157856234592,88.93487529676426,50.0,50.0,50.0
610.0,35.0,30.4,0.024816326530612245,8.375052868060411,10.510829446731712,7328.467212164439,250.75765220494165,128.6844413161848,88.93327710758916,50.0,50.0,50.0
610.0,40.0,30.4,0.019,8.375088916500049,10.510810274718908,7328.4701017303505,250.75659305846898,128.68692396248235,88.93189113207484,50.0,50.0,50.0
610.0,45.0,30.4,0.015012345679012344,8.375107532793576,10.510800373663788,7328.471594004892,250.7560460745316,128.68820608619342,88.93117536733564,50.0,50.0,50.0
615.0,30.0,30.4,0.033777777777777775,6.9911605747840335,10.17097790380592,7360.545497325557,314.7643346910443,50.0,107.22708475219783,50.0,50.0,50.0
615.0,35.0,30.4,0.024816326530612245,6.991165344058311,10.170917647293102,7360.5477544538735,314.76659639017066,50.0,107.2248276782991,50.0,50.0,50.0
615.0,40.0,30.4,0.019,6.991168301941223,10.170880278362832,7360.549154372918,314.7679990610404,50.0,107.22342787600753,50.0,50.0,50.0
615.0,45.0,30.4,0.015012345679012344,6.959988818178403,10.669977550178606,7348.678997574544,298.75571714530525,50.0,123.20466220727984,50.0,50.0,50.0
620.0,30.0,30.4,0.033777777777777775,7.077847889015462,10.234302449552967,7415.4229132950495,316.50438898772114,50.0,110.57385771254756,50.0,50.0,50.0
620.0,35.0,30.4,0.024816326530612245,7.056855377078223,10.555338569661998,7407.045300056332,305.93350028952773,50.0,121.12404133335355,50.0,50.0,50.0
620.0,40.0,30.4,0.019,7.07784993781112,10.234275578703652,7415.4238551442795,316.5053682682963,50.0,110.57288039505084,50.0,50.0,50.0
620.0,45.0,30.4,0.015012345679012344,7.077850468985609,10.234268612238436,7415.424099333401,316.50562215682254,50.0,110.5726270154783,50.0,50.0,50.0
625.0,30.0,30.4,0.033777777777777775,7.14678288524406,10.58131250337605,7463.414574171432,309.09274065077625,50.0,123.05470472479742,50.0,50.0,50.0
625.0,35.0,30.4,0.024816326530612245,7.164337853739089,10.307138414101418,7470.279720109572,317.95264092634665,50.0,114.21224934351996,50.0,50.0,50.0
625.0,40.0,30.4,0.019,7.164335872193204,10.307165618470284,7470.278842934162,317.9516834833611,50.0,114.21320491227242,50.0,50.0,50.0
625.0,45.0,30.4,0.015012345679012344,7.1643344066228165,10.30718573955779,7470.278194180487,317.9509753434572,50.0,114.21391166598646,50.0,50.0,50.0
